"cdCidade","Cidade"
"1","AGROLANDIA"
"2","AGRONOMICA"
"3","AGUAS MORNAS"
"4","ALFREDO WAGNER"
"5","ANGELINA"
"6","ANITAPOLIS"
"7","ANTONIO CARLOS"
"8","APIUNA"
"9","ARAQUARI"
"10","ARARANGUA"
"11","ARMAZEM"
"12","ASCURRA"
"13","ATALANTA"
"14","AURORA"
"15","BALNEARIO ARROIO DO SILVA"
"16","BALNEARIO BARRA DO SUL"
"17","BALNEARIO CAMBORIU"
"18","BALNEARIO GAIVOTA"
"19","BALNEARIO PICARRAS"
"20","BALNEARIO RINCAO"
"21","BARRA VELHA"
"22","BELA VISTA DO TOLDO"
"23","BENEDITO NOVO"
"24","BIGUACU"
"25","BLUMENAU"
"26","BOCAINA DO SUL"
"27","BOM JARDIM DA SERRA"
"28","BOM RETIRO"
"29","BOMBINHAS"
"30","BOTUVERA"
"31","BRACO DO NORTE"
"32","BRACO DO TROMBUDO"
"33","BRUSQUE"
"34","CAMBORIU"
"35","CAMPO ALEGRE"
"36","CAMPO BELO DO SUL"
"37","CANELINHA"
"38","CANOINHAS"
"39","CAPAO ALTO"
"40","CAPIVARI DE BAIXO"
"41","CERRO NEGRO"
"42","CHAPADAO DO LAGEADO"
"43","CHAPECO"
"44","COCAL DO SUL"
"45","CORREIA PINTO"
"46","CORUPA"
"47","CRICIUMA"
"48","CURITIBANOS"
"49","DONA EMMA"
"50","DOUTOR PEDRINHO"
"51","ERMO"
"52","FLORIANOPOLIS"
"53","FORQUILHINHA"
"54","GAROPABA"
"55","GARUVA"
"56","GASPAR"
"57","GOVERNADOR CELSO RAMOS"
"58","GRAO PARA"
"59","GRAVATAL"
"60","GUABIRUBA"
"61","GUARAMIRIM"
"62","IBIRAMA"
"63","ICARA"
"64","ILHOTA"
"65","IMARUI"
"66","IMBITUBA"
"67","IMBUIA"
"68","INDAIAL"
"69","IRINEOPOLIS"
"70","ITAIOPOLIS"
"71","ITAJAI"
"72","ITAPEMA"
"73","ITAPOA"
"74","ITUPORANGA"
"75","JACINTO MACHADO"
"76","JAGUARUNA"
"77","JARAGUA DO SUL"
"78","JOACABA"
"79","JOINVILLE"
"80","JOSE BOITEUX"
"81","LAGES"
"82","LAGUNA"
"83","LAURENTINO"
"84","LAURO MULLER"
"85","LEOBERTO LEAL"
"86","LONTRAS"
"87","LUIZ ALVES"
"88","MAFRA"
"89","MAJOR GERCINO"
"90","MAJOR VIEIRA"
"91","MARACAJA"
"92","MASSARANDUBA"
"93","MELEIRO"
"94","MIRIM DOCE"
"95","MONTE CASTELO"
"96","MORRO DA FUMACA"
"97","MORRO GRANDE"
"98","NAVEGANTES"
"99","NOVA TRENTO"
"100","NOVA VENEZA"
"101","ORLEANS"
"102","OTACILIO COSTA"
"103","PAINEL"
"104","PALHOCA"
"105","PALMEIRA"
"106","PAPANDUVA"
"107","PASSO DE TORRES"
"108","PAULO LOPES"
"109","PEDRAS GRANDES"
"110","PENHA"
"111","PESCARIA BRAVA"
"112","PETROLANDIA"
"113","PICARRAS"
"114","POMERODE"
"115","PONTE ALTA"
"116","PORTO BELO"
"117","PORTO UNIAO"
"118","POUSO REDONDO"
"119","PRAIA GRANDE"
"120","PRESIDENTE GETULIO"
"121","PRESIDENTE NEREU"
"122","RANCHO QUEIMADO"
"123","RIO DO CAMPO"
"124","RIO DO OESTE"
"125","RIO DO SUL"
"126","RIO DOS CEDROS"
"127","RIO FORTUNA"
"128","RIO NEGRINHO"
"129","RIO RUFINO"
"130","RODEIO"
"131","SALETE"
"132","SANGAO"
"133","SANTA ROSA DE LIMA"
"134","SANTA ROSA DO SUL"
"135","SANTA TEREZINHA"
"136","SANTO AMARO DA IMPERATRIZ"
"137","SAO BENTO DO SUL"
"138","SAO BONIFACIO"
"139","SAO FRANCISCO DO SUL"
"140","SAO JOAO BATISTA"
"141","SAO JOAO DO ITAPERIU"
"142","SAO JOAO DO SUL"
"143","SAO JOAQUIM"
"144","SAO JOSE"
"145","SAO JOSE DO CERRITO"
"146","SAO LUDGERO"
"147","SAO MARTINHO"
"148","SAO PEDRO DE ALCANTARA"
"149","SCHROEDER"
"150","SIDEROPOLIS"
"151","SOMBRIO"
"152","TAIO"
"153","TIJUCAS"
"154","TIMBE DO SUL"
"155","TIMBO"
"156","TRES BARRAS"
"157","TREVISO"
"158","TREZE DE MAIO"
"159","TROMBUDO CENTRAL"
"160","TUBARAO"
"161","TURVO"
"162","URUBICI"
"163","URUPEMA"
"164","URUSSANGA"
"165","VIDAL RAMOS"
"166","VIDEIRA"
"167","VITOR MEIRELES"
"168","WITMARSUM"
