"cdCliente","Cliente","CanalAtendimento","cdCidade"
"2","Cliente 10195","SM DE 02 A 04 CHECK-OUT","71"
"41","Cliente 6117","INDUSTRIA/EMPRESA","79"
"51","Cliente 1339","INDUSTRIA/EMPRESA","71"
"22436","Cliente 5114","CONVENIENCIA","71"
"22539","Cliente 3335","TERCEIROS","71"
"22557","Cliente 9471","PRESTADORA DE SERVICOS","71"
"22774","Cliente 7318","SM DE 02 A 04 CHECK-OUT","128"
"41201","Cliente 10666","RESTAURANTE","52"
"47757","Cliente 10118","TERCEIROS","71"
"47759","Cliente 9978","PRESTADORA DE SERVICOS","71"
"47771","Cliente 5007","HOTEL/MOTEL","25"
"47804","Cliente 1777","ACOUGUE/VERDUREIRA","71"
"47810","Cliente 5101","HOTEL/MOTEL","29"
"47883","Cliente 9676","TERCEIROS","125"
"47934","Cliente 7580","SM DE 10 A 19 CHECK-OUT","104"
"48001","Cliente 7364","MERCEARIA","71"
"48003","Cliente 596","LABORATORIO/CLINICA/HOSPITAL","71"
"48097","Cliente 4467","SM DE 02 A 04 CHECK-OUT","79"
"48124","Cliente 6832","PRESTADORA DE SERVICOS","71"
"48137","Cliente 397","CONVENIENCIA","25"
"48141","Cliente 5843","MECANICA DE MOTO","155"
"48147","Cliente 1848","SM DE 10 A 19 CHECK-OUT","71"
"48149","Cliente 8025","CLUBE/CANTINA","71"
"48187","Cliente 7109","CINE FOTO","71"
"48194","Cliente 10585","TERCEIROS","66"
"48237","Cliente 6409","ATACADO","71"
"48242","Cliente 4706","FARMACIA/DROGARIA","114"
"48248","Cliente 3123","SM DE 10 A 19 CHECK-OUT","17"
"48272","Cliente 4987","SM DE 10 A 19 CHECK-OUT","52"
"48273","Cliente 4988","SM DE 10 A 19 CHECK-OUT","52"
"48280","Cliente 4508","SM DE 05 A 09 CHECK-OUT","79"
"48286","Cliente 8828","SM DE 05 A 09 CHECK-OUT","81"
"48293","Cliente 3453","RESTAURANTE","79"
"48297","Cliente 9816","SM DE 05 A 09 CHECK-OUT","81"
"48300","Cliente 11337","MERCEARIA","81"
"48301","Cliente 4409","SM ACIMA DE 20 CHECK-OUT","68"
"48313","Cliente 2026","SM DE 05 A 09 CHECK-OUT","81"
"48320","Cliente 10669","SM DE 02 A 04 CHECK-OUT","52"
"48327","Cliente 4747","SM DE 02 A 04 CHECK-OUT","120"
"48337","Cliente 9066","SM DE 02 A 04 CHECK-OUT","100"
"48340","Cliente 5635","MERCEARIA","36"
"48347","Cliente 4997","RESTAURANTE","63"
"48350","Cliente 2377","HOTEL/MOTEL","59"
"48355","Cliente 3018","SM ACIMA DE 20 CHECK-OUT","130"
"48361","Cliente 3246","SM DE 02 A 04 CHECK-OUT","25"
"48374","Cliente 6079","SM DE 05 A 09 CHECK-OUT","31"
"48380","Cliente 2280","MERCEARIA","110"
"48384","Cliente 78","SM DE 02 A 04 CHECK-OUT","71"
"48390","Cliente 7725","MERCEARIA","87"
"48396","Cliente 6143","BARES TRADICIONAIS","71"
"48398","Cliente 1237","BARES TRADICIONAIS","71"
